Item-name	Item-Description	category1	price	sku	image-url	Shipping-fee	quantity	
"Indian Bindi, attractive black design"	"Indian bindis, beautiful accessory worn on forehead, East Indian tradition, 14 per package.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.00 "	172782	$1.00	0.1	http://www.semiprecious.com/images/crafts/bindi01.jpg	$0.55	8	
"Indian Bindi, attractive multi-colored design"	"Indian bindis, a color for every outfit, beautiful accessory worn on forehead, East Indian tradition, 10 per package.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.00 "	172782	$1.50	0.2	http://www.semiprecious.com/images/crafts/bindi02.jpg	$0.55	19	
"Indian Bindi, attractive black snake design"	"Indian bindis, beautiful accessory worn on forehead, East Indian tradition, 7 per package.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.00 "	172782	$1.00	0.3	http://www.semiprecious.com/images/crafts/bindi03.jpg	$0.55	9	
"Indian Bindi, attractive multi-colored design"	"Indian bindis, beautiful accessory worn on forehead, East Indian tradition, 9 in package.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.00 "	172782	$1.50	0.4	http://www.semiprecious.com/images/crafts/bindi04.jpg	$0.55	5	
"Lapis necklace with ethnic metal pieces , 24"""	"Lapis necklace with ethnic metal pieces , 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$16.00 	9.0	http://www.semiprecious.com/images/necklaces/lapis11old.jpg	$2.50 	3	
Mixed stone bracelet	"Mixed stone bracelet, 20 cm  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296305	$5.00 	14.0	http://www.semiprecious.com/images/bracelets/mixbrac.jpg	$1.00 	20	
"Moonstone necklace, rectangular beads with golden rings, 17"""	"Moonstone necklace, rectangular beads with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$12.00 	18.0	http://www.semiprecious.com/images/necklaces/moonold.jpg	$2.00 	8	
"Tiger eye necklace with golden rings, 17"""	"Tiger eye necklace with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$10.00 	19.0	http://www.semiprecious.com/images/necklaces/tig23old.jpg	$2.50 	5	
"Amethyst necklace with golden rings, 16-17"""	"Amethyst necklace with golden rings, 16-17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296347	$10.00 	21.0	http://www.semiprecious.com/images/necklaces/ameth25.jpg	$2.50 	10	
"Carnelian (orange) necklace, round stones with golden rings, 17"""	"Carnelian (orange) necklace, round stones with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$10.00 	22.0	http://www.semiprecious.com/images/necklaces/carn26old.jpg	$2.50 	6	
"Goldstone necklace with golden rings, 17"""	"Goldstone necklace with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$10.00 	23.0	http://www.semiprecious.com/images/necklaces/sand27old.jpg	$2.00 	13	
