Item-name	Item-Description	category1	price	sku	image-url	Shipping-fee	quantity
"Agate necklace with ethnic metal pieces, 20"""	"Agate necklace with ethnic metal pieces, 20""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$14.00 	167	http://www.semiprecious.com/images/necklaces/167.jpg	$2.50 	10
"Agate necklace with ethnic metal pieces, 24"""	"Agate necklace with ethnic metal pieces, 24""  Some necklaces are more greyish, others are more pink   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$13.00 	168	http://www.semiprecious.com/images/necklaces/168.jpg	$2.50 	10
"Agate necklace with ethnic metal pieces, 25"""	"Agate necklace with ethnic metal pieces, 25""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$17.00 	150	http://www.semiprecious.com/images/necklaces/150.jpg	$2.50 	10
"Amethyst (dark) and bone necklace, ethnic elephant engraving, 18"""	"Amethyst (dark) and bone necklace, ethnic elephant engraving, 18""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$15.00 	93	http://www.semiprecious.com/images/necklaces/93.jpg	$2.50 	3
"Amethyst (dark) necklace with golden rings, 24"""	"Amethyst (dark) necklace with golden rings, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296347	$16.00 	169	http://www.semiprecious.com/images/necklaces/169.jpg	$2.50 	10
"Amethyst (dark) necklace,  7mm beads, 18"""	"Amethyst (dark) necklace,  7mm beads, 18""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296347	$13.00 	94	http://www.semiprecious.com/images/necklaces/94.jpg	$2.50 	5
"Amethyst (light) and bone necklace, flower design, 18"""	"Amethyst (light) and bone necklace, flower design, 18""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$15.00 	92	http://www.semiprecious.com/images/necklaces/92.jpg	$2.50 	6
"Amethyst and bone necklace with ethnic metal pieces, 17"""	"Amethyst and bone necklace with ethnic metal pieces, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$10.00 	157	http://www.semiprecious.com/images/necklaces/157.jpg	$2.50 	10
"Amethyst and metal pieces necklace, 18"""	"Amethyst and metal pieces necklace, 18""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296347	$7.00 	4	http://www.semiprecious.com/images/necklaces/amesilv.jpg	$2.50 	5
"Amethyst necklace with golden rings, 16-17"""	"Amethyst necklace with golden rings, 16-17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296347	$10.00 	21	http://www.semiprecious.com/images/necklaces/ameth25.jpg	$2.50 	10
