Item-name	Item-Description	category1	min-bid	sku	image-url	Shipping-fee	quantity	first-bidder-discount	take-it-price
"Brown agate and bone necklace, ethnic design, 18"""	"Brown agate and bone necklace, ethnic design, 18""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$15.00 	55	http://www.semiprecious.com/images/necklaces/chokbnbr.jpg	$2.00 	17	y	$22.50 
"Carnelian (orange) necklace, round stones with golden rings, 17"""	"Carnelian (orange) necklace, round stones with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$10.00 	22	http://www.semiprecious.com/images/necklaces/carn26old.jpg	$2.00 	6	y	$15.00 
"Carnelian necklace, round stones with golden rings, 17"" (earrings included)"	"Carnelian (orange) necklace, round stones with golden rings, 17"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$12.00 	22.1	http://www.semiprecious.com/images/necklaces/carn26.jpg	$2.00 	6	y	$18.00 
"Carnelian (orange) necklace, uncut stones, 30"""	"Carnelian (orange) necklace, uncut stones, 30""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$6.00 	6	http://www.semiprecious.com/images/necklaces/carn8.jpg	$2.00 	2	y	$9.00 
"Carnelian and lapis necklace, ethnic, 17"""	"Carnelian and lapis necklace, ethnic, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$15.00 	59	http://www.semiprecious.com/images/necklaces/lapcar02.jpg	$2.00 	10	y	$22.50 
"Dark blue tiger eye necklace with ethnic balls, 17"""	"Dark blue tiger eye necklace with ethnic balls, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$16.00 	120	http://www.semiprecious.com/images/necklaces/tigblue.jpg	$2.00 	2	y	$24.00 
"Ethnic necklace with large metal pieces and various stones, 30"""	"Ethnic necklace with large metal pieces and various stones, 30""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$8.00 	33	http://www.semiprecious.com/images/necklaces/mixed.jpg	$2.00 	9	y	$12.00 
"Garnet necklace, square beads, 17"""	"Garnet necklace, square beads, 17""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296352	$23.00 	161	http://www.semiprecious.com/images/necklaces/161.jpg	$2.00 	10	y	$34.50 
"Goldstone necklace spherical stones, 24"""	"Goldstone necklace spherical stones, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$20.00 	27	http://www.semiprecious.com/images/necklaces/goldsphr.jpg	$2.00 	2	y	$30.00 
"Goldstone necklace with ethnic metal pieces, 17"""	"Goldstone necklace with ethnic metal pieces, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$13.00 	158	http://www.semiprecious.com/images/necklaces/158.jpg	$2.00 	10	y	$19.50 
"Goldstone necklace with golden rings and ethnic spheres, 17"""	"Goldstone necklace with golden rings and ethnic spheres, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$16.00 	44	http://www.semiprecious.com/images/necklaces/goldethn.jpg	$2.00 	5	y	$24.00 
"Goldstone necklace, cylinderical, ethnic design. 24"""	"Goldstone necklace, cylinderical, ethnic design. 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$17.00 	136	http://www.semiprecious.com/images/necklaces/136.jpg	$2.00 	10	y	$25.50 
"Goldstone necklace, knotted, 17"""	"Goldstone necklace, knotted, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$8.00 	26	http://www.semiprecious.com/images/necklaces/goldnot.jpg	$2.00 	8	y	$12.00 
"Hematite necklace (dark grey), 17"" "	"Hematite  necklace (dark grey), 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$6.00 	46	http://www.semiprecious.com/images/necklaces/hematitold.jpg	$1.00 	3	y	$9.00 
"Hematite necklace (dark grey), 17"" (matching earrings included)"	"Hematite necklace (dark grey), 17"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$8.00 	46.1	http://www.semiprecious.com/images/necklaces/hematit.jpg	$1.00 	3	y	$12.00 
"Hematite necklace, 6mm beads, 17"""	"Hematite necklace, 6mm beads, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$13.00 	144	http://www.semiprecious.com/images/necklaces/144.jpg	$1.00 	10	y	$19.50 
"Hematite necklace, 8mm beads, 24"""	"Hematite necklace, 8mm beads, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$20.00 	146	http://www.semiprecious.com/images/necklaces/146.jpg	$1.00 	5	y	$30.00 
"Jasper and black agate necklace with ethnic metal pieces, 17"""	"Jasper and black agate necklace with ethnic metal pieces, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$13.00 	149	http://www.semiprecious.com/images/necklaces/149.jpg	$1.00 	11	y	$19.50 
"Lapis and carnelian necklace, with metal pieces, ethnic design, 24"""	"Lapis and carnelian necklace, with metal pieces, ethnic design, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$14.00 	173	http://www.semiprecious.com/images/necklaces/173.jpg	$1.00 	10	y	$21.00 
"Lapis necklace with ethnic metal pieces , 24"""	"Lapis necklace with ethnic metal pieces , 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$16.00 	9	http://www.semiprecious.com/images/necklaces/lapis11old.jpg	$1.00 	3	y	$24.00 
"Lapis necklace with ethnic metal pieces, 24"" (with earrings)"	"Lapis necklace with ethnic metal pieces, 24"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$18.00 	9.1	http://www.semiprecious.com/images/necklaces/lapis11.jpg	$1.00 	3	y	$27.00 
"Lapis necklace with golden rings, 24"""	"Lapis necklace with golden rings, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$25.00 	163	http://www.semiprecious.com/images/necklaces/163.jpg	$1.00 	10	y	$37.50 
"Lapis necklace, 3 layered, 17"", ethnic style"	"Lapis necklace, 3 layered, 17"", ethnic style   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$22.00 	171	http://www.semiprecious.com/images/necklaces/171.jpg	$1.00 	5	y	$33.00 
"Lapis necklace, large cylindrical stone pieces, 18"""	"Lapis necklace, large cylindrical stone pieces, 18""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$14.00 	2	http://www.semiprecious.com/images/necklaces/lapis1.jpg	$1.00 	5	y	$21.00 
"Lapis necklace, large cylindrical stone pieces, 24"""	"Lapis necklace, large cylindrical stone pieces, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$20.00 	7	http://www.semiprecious.com/images/necklaces/lapis9.jpg	$1.00 	2	y	$30.00 
"Malachite necklace, cylindrical, with golden rings, 24"""	"Malachite necklace, cylindrical, with golden rings, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$18.00 	43	http://www.semiprecious.com/images/necklaces/malring.jpg	$1.00 	4	y	$27.00 
"Moonstone necklace, rectangular beads, 17"""	"Moonstone necklace, rectangular beads, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$10.00 	17	http://www.semiprecious.com/images/necklaces/moon.jpg	$1.00 	2	y	$15.00 
"Moss agate necklace with ethnic metal pieces, 24"""	"Moss agate necklace with ethnic metal pieces, 24"" For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$14.00 	12	http://www.semiprecious.com/images/necklaces/mossag14old.jpg	$1.00 	3	y	$21.00 
"Moss agate necklace with ethnic metal pieces, 24"" (with earrings)"	"Moss agate necklace with ethnic metal pieces, 24"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$16.00 	12.1	http://www.semiprecious.com/images/necklaces/mossag14.jpg	$1.00 	3	y	$24.00 
"Moss agate necklace with golden rings, 24"""	"Moss agate necklace with golden rings, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$16.00 	152	http://www.semiprecious.com/images/necklaces/152.jpg	$1.00 	10	y	$24.00 
"Moss agate necklace, 3 strand, 17"", beautiful ethnic design."	"Moss agate necklace, 3 strand, 17"", beautiful ethnic design.   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$16.00 	172	http://www.semiprecious.com/images/necklaces/172.jpg	$1.00 	10	y	$24.00 
"Moss agate necklace, 34"""	"Moss agate necklace, 34""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$20.00 	42	http://www.semiprecious.com/images/necklaces/mossagat.jpg	$1.00 	3	y	$30.00 
