UNIQUE INTERNAL CODE	PRODUCT NAME	PRODUCT DESCRIPTION	PRODUCT PRICE	PRODUCT URL	IMAGE URL	CATEGORY	SHIPPING COST	GENDER	COLOR	GOOGLE TAX	MANUFACTURER	Google Age Group	MPN(Manufacturer Part Number)
1533	Garnet Earrings	Garnet Earrings Reminiscent of a design that is as old as the civilization itself, rectangular garnet gems with spherical aventurine gems call on an ancient beauty. The rich green of aventurine compliments the depth of the red garnet. 	16	http://www.semiprecious.com/detail.cfm?itemnumber=1533	http://www.semiprecious.com/images/Earrings/1533.jpg	Clothing & Accessories > Jewelry > Earrings	3.99	f	green,red	US:TX:8.25:y	Semiprecious.com	Adult	1533
942	Carnelian Drop Earrings	Carnelian Earrings Carnelian, dropped shaped beads earrings. 1 inch long. A top selling design.	23	http://www.semiprecious.com/detail.cfm?itemnumber=942	http://www.semiprecious.com/images/Earrings/942.jpg	Clothing & Accessories > Jewelry > Earrings	3.99	f	orange	US:TX:8.25:y	Semiprecious.com	Adult	942
15372	Opalite Pendants  in Sterling Silver	Opalite pendants This pendant has an oval Opalite cabochon set in sterling silver. 1.5 inch long (measured without bail). Stone size - 19x25 mm.   	30	http://www.semiprecious.com/detail.cfm?itemnumber=15372	http://www.semiprecious.com/images/pendants/15372.jpg	Clothing & Accessories > Jewelry > pendants	3.99	f	white	US:TX:8.25:y	Semiprecious.com	Adult	15372
15886	Lapis Lazuli Chunky Pendants  in Sterling Silver	Lapis Lazuli Pendants This pendant has oval shaped chunky Lapis Lazuli gemstone (more uniform blue than pictured), beautifully set in sterling silver. Length 1.5 inch. Stone size 20x28 to 23x32 mm.   	43	http://www.semiprecious.com/detail.cfm?itemnumber=15886	http://www.semiprecious.com/images/Pendants/15886.jpg	Clothing & Accessories > Jewelry > Pendants	3.99	f	brown,green,red	US:TX:8.25:y	Semiprecious.com	Adult	15886
16072	Onyx Stretch Bracelets	Onyx Bracelets Onyx Stretchable Bracelet. This bracelet has black onyx round beads and textured onyx beads. Bracelet can stretch from 6 to 12 inches. Bead size 7x7 to 16x16 mm approx.   	29	http://www.semiprecious.com/detail.cfm?itemnumber=16072	http://www.semiprecious.com/images/Bracelets/16072.jpg	Clothing & Accessories > Jewelry > Bracelets	3.99	f	black,brown	US:TX:8.25:y	Semiprecious.com	Adult	16072
10311	Crystal Eggs Healing	Crystal healing Crystal egg. Clear crystal is considered to be a good overall health enhancer. It is good for the mind, body and spirit. size - 50mm    	24	http://www.semiprecious.com/detail.cfm?itemnumber=10311	http://www.semiprecious.com/images/healing/10311.jpg	Clothing & Accessories > Jewelry > healing	3.99	f	white	US:TX:8.25:y	Semiprecious.com	Adult	10311
735	Garnet Pendants  in Sterling Silver	Garnet Pendants Chalcedony and garnet sterling silver pendant. 1.25 inches long without bail and 1 inch wide. Beautiful piece.   	60	http://www.semiprecious.com/detail.cfm?itemnumber=735	http://www.semiprecious.com/images/Pendants/735.jpg	Clothing & Accessories > Jewelry > Pendants	3.99	f	red	US:TX:8.25:y	Semiprecious.com	Adult	735
484	Tiger Eye Simple-Strand Necklaces	Tiger eye Necklaces Tiger eye necklace, 24 inches, securely hand-knotted between 7-10mm rectangular beads. Note: Current stock has an adjustable silver chain and S-hook rather than the barrel clasp shown here.   	36	http://www.semiprecious.com/detail.cfm?itemnumber=484	http://www.semiprecious.com/images/Necklaces/484.jpg	Clothing & Accessories > Jewelry > Necklaces	3.99	f	brown	US:TX:8.25:y	Semiprecious.com	Adult	484
15777	Prehnite Chunky Bracelets	Prehnite bracelets Big fat chunks of faceted prehnite and striated black, brown, and white onyx tumbles on a stretch bracelet or anklet with 2-inch extension chain and lobster clasp. Fits up to 10 inches without being stretched. Beads are one to just under one inch long. Original design hand-made in Austin, Texas.   	34	http://www.semiprecious.com/detail.cfm?itemnumber=15777	http://www.semiprecious.com/images/bracelets/15777.jpg	Clothing & Accessories > Jewelry > bracelets	3.99	f	brown,green,white	US:TX:8.25:y	Semiprecious.com	Adult	15777
16272	Onyx Contemporary Earrings	Onyx Earrings This Lovely Pair Of Earrings Display A Round Lonalive Onyx Bead Between 2 Faceted Garnet Round Small Beads With GR Silver Bead At The Bottom Of The Earrings. 1.25 Inches Long. Smallest Stone Size - 5mm And Largest Stone size - 12mm.   	17	http://www.semiprecious.com/detail.cfm?itemnumber=16272	http://www.semiprecious.com/images/Earrings/16272.jpg	Clothing & Accessories > Jewelry > Earrings	3.99	f	brown,red,yellow	US:TX:8.25:y	Semiprecious.com	Adult	16272
24	Amethyst Necklaces	Amethyst Necklaces Round amethyst beads with gold toned separators. Finished with golden barrel clasp.<p>-17.5 inches long.	22	http://www.semiprecious.com/detail.cfm?itemnumber=24	http://www.semiprecious.com/images/Necklaces/24.jpg	Clothing & Accessories > Jewelry > Necklaces	3.99	f	purple	US:TX:8.25:y	Semiprecious.com	Adult	24
17177	Pearl Pendants	Pearl Pendants 1.5 inch long pendant with round pearl. Pearl size 8mm.   	14	http://www.semiprecious.com/detail.cfm?itemnumber=17177	http://www.semiprecious.com/images/Pendants/17177.jpg	Clothing & Accessories > Jewelry > Pendants	3.99	f	white	US:TX:8.25:y	Semiprecious.com	Adult	17177
10909	Garnet Multistrand Necklaces	Garnet necklaces This beautiful garnet bead necklace has a  triple strand of fine garnet pipe beads. The symmetrical beads placed in perfect order are simply stunning. The necklace is 15 to 18 inches long with silver clasp and 3 inch long extension chain. Stone size is 6mm.   	61	http://www.semiprecious.com/detail.cfm?itemnumber=10909	http://www.semiprecious.com/images/necklaces/10909.jpg	Clothing & Accessories > Jewelry > necklaces	3.99	f	red	US:TX:8.25:y	Semiprecious.com	Adult	10909
